step,episode,episode_length,episode_return,value_loss,q_loss,policy_loss,alpha,eval_return,eval_std
28000,28,1000,-278.3341040949439,0.19144219160079956,3.2453224658966064,-17.34715461730957,0.2,,
29000,29,1000,-135.9533796457946,0.20779390633106232,9.31631088256836,-17.938337326049805,0.2,,
30000,30,1000,-113.44727819338499,0.22023890912532806,5.517361164093018,-18.077089309692383,0.2,,
30000,,,,0.22023890912532806,5.517361164093018,-18.077089309692383,0.2,-23.258283884642495,13.344818314273075
31000,31,1000,-293.80803442563985,0.24139304459095,7.869190216064453,-18.435508728027344,0.2,,
32000,32,1000,-241.0412808755597,0.272990345954895,3.0737576484680176,-19.081661224365234,0.2,,
33000,33,1000,-154.45969236455008,0.253871351480484,3.4271950721740723,-19.31573486328125,0.2,,
34000,34,1000,-270.3225107690992,0.1987895965576172,5.589625835418701,-19.757352828979492,0.2,,
35000,35,1000,-103.62172960669092,0.23248913884162903,2.9950990676879883,-19.746854782104492,0.2,,
36000,36,1000,-271.6368102230953,0.26524561643600464,2.9853649139404297,-19.994522094726562,0.2,,
37000,37,1000,-120.86900228214859,0.2545512914657593,2.8226535320281982,-20.11259651184082,0.2,,
38000,38,1000,-105.68002970726975,0.2011718600988388,2.897858142852783,-20.411670684814453,0.2,,
39000,39,1000,-120.60632253754923,0.23665112257003784,3.1715500354766846,-20.601234436035156,0.2,,
40000,40,1000,-127.0537522967575,0.215725377202034,7.68528938293457,-20.69720458984375,0.2,,
40000,,,,0.215725377202034,7.68528938293457,-20.69720458984375,0.2,-40.38776235811514,4.818806876898273
41000,41,1000,-138.25962060031443,0.25141483545303345,4.62874174118042,-21.03736114501953,0.2,,
42000,42,1000,-107.20758819893648,0.23274259269237518,6.885384559631348,-21.43829917907715,0.2,,
43000,43,1000,-160.70418234869,0.2526806890964508,6.534387588500977,-21.905399322509766,0.2,,
44000,44,1000,-98.2060183055328,0.25235915184020996,2.5799360275268555,-21.60970687866211,0.2,,
45000,45,1000,-39.111816734479625,0.24985377490520477,6.143704891204834,-22.061927795410156,0.2,,
46000,46,1000,-173.56704595304944,0.3018006980419159,6.441329002380371,-22.17701530456543,0.2,,
47000,47,1000,-207.15142874993728,0.29606568813323975,3.3953583240509033,-22.522367477416992,0.2,,
48000,48,1000,-69.46662429840656,0.29627907276153564,6.482803821563721,-22.6765193939209,0.2,,
49000,49,1000,-133.86467576410635,0.21641379594802856,5.903650283813477,-22.847496032714844,0.2,,
50000,50,1000,-123.22942663716084,0.23671197891235352,2.49924373626709,-22.95237159729004,0.2,,
50000,,,,0.23671197891235352,2.49924373626709,-22.95237159729004,0.2,-50.70011775705292,2.145699716449332
51000,51,1000,-260.1525525195114,0.27940112352371216,2.6245086193084717,-23.263587951660156,0.2,,
52000,52,1000,-236.65721732530463,0.24970637261867523,7.047438621520996,-23.33063316345215,0.2,,
53000,53,1000,-113.94989119521128,0.22611203789710999,3.279496908187866,-23.519655227661133,0.2,,
54000,54,1000,-46.58393047077845,0.28330710530281067,6.956711769104004,-23.600637435913086,0.2,,
55000,55,1000,-275.25638279475555,0.19592703878879547,3.2386484146118164,-23.549701690673828,0.2,,
56000,56,1000,-187.1896728986007,0.2878299355506897,3.238218307495117,-23.88092041015625,0.2,,
57000,57,1000,-109.92808299577054,0.2638735771179199,3.1271862983703613,-24.114957809448242,0.2,,
58000,58,1000,-209.47800343321006,0.23941272497177124,2.497122287750244,-24.18673324584961,0.2,,
59000,59,1000,-101.83726412168686,0.28232747316360474,2.615910053253174,-24.41292381286621,0.2,,
60000,60,1000,-242.29719486124253,0.2957250475883484,3.112460136413574,-24.58177947998047,0.2,,
